home_team,away_team,home_win_pct_fangraphs,away_win_pct_fangraphs,home_sportsbook,home_odds,home_win_pct_oddstrader,away_sportsbook,away_odds,away_win_pct_oddstrader,home_team_win,home_diff,away_diff,home_ev,away_ev,home_payout,away_payout
Orioles,WhiteSox,0.696,0.304,FanDuel,-320,0.7619047619047619,Caesars,+270,0.2702702702702703,1.0,-0.06590476190476191,0.03372972972972971,-0.08650000000000008,0.12480000000000013,0.3125,2.7
Marlins,Nationals,0.575,0.425,Caesars,-115,0.5348837209302325,FanDuel,-102,0.504950495049505,0.0,0.040116279069767447,-0.07995049504950497,0.0749999999999999,-0.15833333333333333,0.8695652173913043,0.9803921568627451
Rays,Twins,0.556,0.444,BetRivers,-108,0.5192307692307693,FanDuel,-104,0.5098039215686274,1.0,0.036769230769230776,-0.06580392156862741,0.07081481481481489,-0.1290769230769231,0.9259259259259259,0.9615384615384616
Braves,Rockies,0.77,0.23,BetMGM,-350,0.7777777777777778,SugarHouse,+335,0.22988505747126436,1.0,-0.007777777777777772,0.00011494252873564537,-0.009999999999999981,0.000500000000000056,0.2857142857142857,3.35
Royals,Guardians,0.508,0.49200000000000005,Bet365,+120,0.45454545454545453,BetMGM,-130,0.5652173913043478,0.0,0.05345454545454548,-0.07321739130434773,0.11760000000000004,-0.1295384615384615,1.2,0.7692307692307693
Cubs,Pirates,0.428,0.5720000000000001,Caesars,+105,0.4878048780487805,Bet365,-120,0.5454545454545454,0.0,-0.059804878048780485,0.02654545454545465,-0.12260000000000004,0.0486666666666668,1.05,0.8333333333333334
BlueJays,Phillies,0.561,0.439,Bet365,-110,0.5238095238095238,BetRivers,+104,0.49019607843137253,0.0,0.03719047619047622,-0.05119607843137253,0.07100000000000006,-0.10443999999999992,0.9090909090909091,1.04
Brewers,Cardinals,0.519,0.48100000000000004,BetMGM,-150,0.6,Caesars,+135,0.425531914893617,0.0,-0.08099999999999996,0.055468085106383014,-0.135,0.1303500000000002,0.6666666666666666,1.35
Rangers,Yankees,0.43799999999999994,0.562,Bet365,+140,0.4166666666666667,BetRivers,-152,0.6031746031746031,1.0,0.02133333333333326,-0.041174603174603086,0.0511999999999998,-0.06826315789473675,1.4,0.6578947368421053
Mets,RedSox,0.5489999999999999,0.451,Caesars,-130,0.5652173913043478,SugarHouse,+123,0.4484304932735426,1.0,-0.01621739130434785,0.0025695067264573934,-0.028692307692307795,0.005730000000000124,0.7692307692307693,1.23
Angels,Dodgers,0.46,0.54,SugarHouse,+163,0.38022813688212925,FanDuel,-180,0.6428571428571429,0.0,0.07977186311787077,-0.10285714285714287,0.2098,-0.15999999999999992,1.63,0.5555555555555556
Giants,Diamondbacks,0.527,0.473,FanDuel,-102,0.504950495049505,Caesars,-115,0.5348837209302325,0.0,0.02204950495049507,-0.06188372093023253,0.04366666666666674,-0.11569565217391309,0.9803921568627451,0.8695652173913043
Athletics,Mariners,0.451,0.5489999999999999,SugarHouse,+145,0.40816326530612246,FanDuel,-154,0.6062992125984252,1.0,0.042836734693877554,-0.0572992125984253,0.1049500000000001,-0.0945064935064936,1.45,0.6493506493506493
Orioles,WhiteSox,0.7709999999999999,0.22899999999999998,Bet365,-450,0.8181818181818182,Caesars,+360,0.21739130434782608,1.0,-0.047181818181818325,0.0116086956521739,-0.05766666666666678,0.05339999999999989,0.2222222222222222,3.6
Brewers,Cardinals,0.594,0.406,FanDuel,-162,0.6183206106870229,Bet365,+145,0.40816326530612246,1.0,-0.02432061068702296,-0.0021632653061224305,-0.03933333333333339,-0.005299999999999971,0.6172839506172839,1.45
Royals,Guardians,0.504,0.496,Bet365,-110,0.5238095238095238,SugarHouse,+104,0.49019607843137253,0.0,-0.019809523809523832,0.005803921568627468,-0.037818181818181806,0.011839999999999962,0.9090909090909091,1.04
Diamondbacks,Dodgers,0.51,0.49,FanDuel,+116,0.46296296296296297,BetMGM,-130,0.5652173913043478,0.0,0.047037037037037044,-0.07521739130434779,0.10160000000000002,-0.1330769230769231,1.16,0.7692307692307693
